"id","question","answer"
413,"Quel réalisateur mythique d'Hollywood joue-t-il son propre rôle dans le film Sunset Boulevard (1960) ?","Cecil B. DeMille"
414,"Quel réalisateur a été interdit de tourner des films puis emprisonné dans son pays d'origine, tournant malgré tout des films et réalisant une grève de la faim avant d'être libéré en 2023?","Jafar Panahi"
248,"Dans quel film brésilien de 2002, réalisé par Fernando Meirelles, des enfants orphelins survivent dans un bidonville de Rio de Janeiro ?","Cidade de Deus"
415,"Quel compositeur de musique est associé à presque toutes les productions du réalisateur Tim Burton ?","Danny Elfman"
429,"Quel personnage de Once Upon a Time... in Hollywood est inspiré d'un acteur réel ?","Le personnage de Cliff Booth, incarné par Brad Pitt, s'inspire d'un acteur de l'époque."
430,"Combien de temps dure le film Satantango ?","Le film dure environ 7 heures et 30 minutes, racontant une histoire complexe en plusieurs segments."
431,"Quelle est la principale menace dans Jaws ?","Un grand requin blanc terrorise les habitants et les touristes d'une petite ville balnéaire."
432,"Quelle transformation subit Ash dans Evil Dead 2 ?","Ash perd sa main, qu'il remplace par une tronçonneuse, symbolisant sa lutte contre les démons."
433,"Quel est le thème principal exploré dans The Handmaiden ?","Le film explore la manipulation, la trahison et la sexualité."
434,"Quel est le secret derrière l'identité de la comtesse dans The Handmaiden ?","Elle cache sa véritable identité pour tromper sa tutrice et récupérer l'héritage familial."
435,"Quelle est la relation entre Sook-hee et la comtesse ?","Sook-hee est une arnaqueuse qui se fait passer pour une servante pour manipuler la comtesse."
438,"Quel est le nom du caméléon dans le film d’animation western réalisé par Gore Verbinski en 2011 ?","Rango"
439,"Quel film d’animation franco-iranien en noir et blanc retrace l’enfance d’une jeune fille pendant la révolution islamique ?","Persepolis"
440,"Quel studio japonais a produit Ghost in the Shell (1995) ?","Production I.G"
457,"Quel film de Claude Chabrol suit l’enquête autour d’un meurtre dans une famille bourgeoise ?","La Femme infidèle"
458,"Quel film d’Henri-Georges Clouzot de 1953 est un thriller psychologique ?","Le Salaire de la peur"
284,"Andrei Tarkovsky a exploré la mémoire et les visions intérieures d’un homme dans son film de 1984. Quel est le titre de ce film ? ","Nostalgia"
285,"François Truffaut a réalisé un film en 1961 sur un jeune homme à la recherche de son identité dans une société en pleine mutation. Quel est ce film ? ","Fahrenheit 451"
286,"Jean Cocteau a créé une version cinématographique de son poème ""La Belle et la Bête"" en 1946. Comment s’intitule ce chef-d’œuvre ? ","La Belle et la Bête"
334,"Dans La Nuit du chasseur, quel mots sont tatoués sur les doigts de Robert Mitchum ?","LOVE et HATE"
356,"Quel prix a remporté Shoplifters au Festival de Cannes ?","La Palme d'Or."
355,"Qui est le réalisateur de Monster (L'innocence) ?","Kore-eda Hirokazu."
357,"Qui est Joe Hisaishi ?","Un compositeur japonais"
358,"Qui interprète le rôle de Carlito Brigante dans Carlito's Way ?","Al Pacino."
293,"Hayao Miyazaki a réalisé en 1990 un film d’animation où une jeune fille surmonte des épreuves pour sauver un monde magique. Quel est le nom du film ? ","Nausicaä de la vallée du vent"
294,"Lars von Trier a dirigé en 2000 un film où Björk interprète une immigrée aveugle. Quel est le titre du film ? ","Dancer in the Dark"
295,"Jean-Luc Godard a réalisé en 1960 un film sur une romance tragique. Quel est le titre de ce film emblématique ? ","Vivre sa vie"
359,"Quel est le nom de la mère de Carrie, un personnage joué par Piper Laurie ?","Margaret White."
360,"Quel est le film avec les bagnoles ?","Cars"
298,"Ingmar Bergman a réalisé en 1985 un film qui s’attaque à la question du mysticisme et de la souffrance pendant la guerre. Quel est ce film ? ","Le Septième Sceau"
299,"Roman Polanski a réalisé en 1968 un film où une femme enceinte est victime de phénomènes étranges. Quel est le titre ? ","Rosemary’s Baby"
361,"Quel est le nom du personnage joué par Jean Reno dans Mission: Impossible ?","Krieger."
301,"John Carpenter a réalisé en 1982 un film d’horreur où un groupe de chercheurs en Antarctique est confronté à une invasion extraterrestre. Quel est ce film ? ","The Thing"
362,"Dans Scarface, quel est le nom du personnage joué par Michelle Pfeiffer ?","Elvira Hancock."
303,"Akira Kurosawa a réalisé en 1960 un film où un samouraï solitaire se confronte à un monde en mutation. Quel est ce film ? ","Yojimbo"
304,"Stephen Sommers a adapté ""Le Livre de la jungle"" en 1994, avec un jeune garçon perdu dans la jungle indienne. Quel est le titre du film ? ","Le Livre de la jungle"
305,"David Lynch a réalisé en 1997 un film sur une identité floue et une réalité perturbante. Quel est le nom du film ? ","Lost Highway"
363,"Quel est le nom du compositeur et antagoniste du film Phantom of the Paradise ?","Swan."
307,"quel film allemand sorti dans les années 30 est devenu un surnom populaire de Kylian Mbappé ou encore d'Emmanuel Macron ?","M le Maudit"
308,"Quel est le titre du chef d'oeuvre cinématographique sorti en 2022 qui est un film d'horreur poignant mettant en scène des mammifères appartenant à la famille des Felidae mêlés à une catastrophe naturelle liée au vent ?","Catnado"
309,"Sur le tournage de quel film allemand le réalisateur a-t-il menacé son acteur principal avec une arme alors que celui-ci était ingérable et menaçait de quitter le tournage ?","Fitzcarraldo"
310,"A quel film doit-on la présence de Joseph Colombo Sr., qui a un temps bloqué la production puis coopérer avec ?","Le Parrain"
364,"Quel acteur incarne le personnage principal, Aguirre, dans Aguirre, the Wrath of God ?","Klaus Kinski."
312,"Quel est le nom du film réalisé par l'acteur Charles Laughton, sorti en 1955, ayant été un échec commercial bien qu'il soit aujourd'hui unanimement perçu comme un chef d'oeuvre ?","La nuit du chasseur"
313,"Dans 'Rear Window' (Hitchcock - 1954), pourquoi le personnage principal a-t'il un plâtre au debut du film ?","Accident avec un voiture de course en la prenant en photo"
365,"Quel est le principal sujet de Le Requiem pour Katia et Maurice Kraft de Herzog ?","Le film raconte l'histoire des volcanologues Maurice et Katia Kraft, qui ont perdu la vie en filmant une éruption volcanique."
315,"Quelles sont les deux figures majeures de la nouvelle vague taiwanaise ?","Edward Yang et Hou Hsiao-Hsien"
316,"Quel est le surnom du célèbre et apprécié Dwayne Johnson?","The Rock"
317,"Quel acteur présent dans le film Apocalypse Now était constamment complètement éteint sous zipette lors du tournage ?","Dennis Hopper"
318,"Quel est le nom du film d'animation ayant été complètement plagié par Christopher Nolan pour Inception ?","Paprika"
319,"Les musiques du court métrage Anima de Paul Thomas Anderson sont de?","Thom Yorke (Radiohead)"
320,"Quels sont les deux acteurs principaux et rivaux dans le film There Will Be Blood ?","Daniel Day-Lewis et Paul Dano"
366,"Quel est le nom du personnage joué par Chris Evans dans Snowpiercer ?","Curtis Everett."
367,"Quel acteur joue le rôle de l'antagoniste, Sean Ambrose, dans Mission: Impossible 2 ?","Dougray Scott."
368,"Wes Anderson a sorti une série de courts-métrages inspirée des nouvelles d’un écrivain. Lequel ?","Roald Dahl"
369,"Quel est le nom du personnage joué par Philip Seymour Hoffman dans Mission: Impossible 3 ?","Owen Davian."
370,"Quelle est la principale mission de l'équipe dans Mission: Impossible – Ghost Protocol ?","Ils doivent empêcher un terroriste de lancer une attaque nucléaire après avoir été accusés à tort d'une explosion au Kremlin."
371,"Qui est le réalisateur de Mission: Impossible – Fallout ?","Christopher McQuarrie."
372,"Quel est le nom de l'organisation ennemie dans Mission: Impossible – Rogue Nation ?","The Syndicate."
373,"Dans quel film retrouve-t-on Spooky Island ?","Scooby-Doo"
374,"Qui est le réalisateur de Oslo, 31 août ?","Joachim Trier"
375,"Qui réalise His Motorbike, Her Island ?","Nobuhiko Obayashi."
376,"Quel est le rôle de Takeshi Kitano dans Hana-bi ?","Il joue le rôle de Nishi, un ancien policier."
377,"Quel est le surnom du personnage joué par Clint Eastwood dans The Good, the Bad and the Ugly ?","Blondie."
378,"Quel acteur incarne le personnage de ""Manco"" dans For a Few Dollars More ?","Clint Eastwood."
379,"A Fistful of Dollars est le premier film de la trilogie dite ""dollars"". Qui le réalise ?","Sergio Leone."
380,"Qui réalise Le Portrait de la jeune fille en feu ?","Céline Sciamma."
381,"Quel est le rêve de Rupert Pupkin ?","Devenir un humoriste célèbre et passer à la télévision"
459,"Quel film suédois de 1957, réalisé par Ingmar Bergman, explore la foi et le doute à travers une quête spirituelle ?","Le Septième Sceau"
460,"Quel film français de 1952, réalisé par René Clément, raconte la survie de deux enfants en pleine seconde guerre mondiale ?","Jeux interdits"
461,"Quel film iranien de 1997, réalisé par Abbas Kiarostami, est un road movie poétique ?","Le Goût de la cerise"
462,"Quel film japonais de 1953, réalisé par Yasujirō Ozu, est un drame familial sur le passage du temps ?","Voyage à Tokyo"
463,"Quel film de Costa-Gavras, sorti en 1975, traite des procès politiques sous le régime de Vichy ?","Section spéciale"
464,"Quel film américain de 1940, réalisé par John Ford, met en scène l’histoire de la famille Joad durant la Grande Dépression ?","Les Raisins de la colère"
465,"Dans quel pays se déroule principalement l’histoire de Y tu mamá también ?","Mexique"
467,"Quel est le sujet principal de Grizzly Man ?","Le film raconte l’histoire de Timothy Treadwell, un homme qui a vécu parmi les grizzlis avant de tragiquement mourir."
468,"Quelle est la relation entre Wallace et Gromit ?","Wallace est un inventeur, et Gromit, son chien, est son fidèle assistant qui le sauve souvent."
469,"Quel est le cadre principal de Days of Heaven ?","Le film se déroule dans les champs de blé du Texas au début du 20e siècle."
470,"Quel est le rôle d'Erin Brockovich dans le film ?","Erin est une assistante juridique qui lutte contre une entreprise polluante pour obtenir justice pour des familles affectées."
471,"Quel livre de Dostoïevski a inspiré Quatre nuits d’un rêveur ?","Les Nuits blanches"
472,"Dans quoi les protagonistes tombe-t-il dans l'usine dans Rabbi Jacob ?","Il tombe dans un bain de chewing gum"
473,"Quel est le nom de l’esprit qui possède Madeleine dans Vertigo ?","Carlotta Valdes"
474,"Quel est le rêve du personnage principal, Buscapé, dans City of God ?","Il rêve de devenir photographe"
475,"Qui est le personnage principal de Grizzly Man ?","Timothy Treadwell."
476,"Quel est le nom du chien de Wallace ?","Gromit"
477,"Quel est le nom du chef de gang qui terrorise la favela dans City of God ?","Zé Pequeno"
478,"Quel est le nom de la déesse qui guide Chihiro dans Le Voyage de Chihiro ?","Haku"
479,"Quel sort touche Sophie dans Le Château ambulant ?","Elle est transformée en vieille femme par une sorcière"
480,"Quel est le jouet préféré d'Andy dans Toy Story ?","Woody, le cow-boy en peluche"
481,"Quel est le nom du poisson clown qui cherche son fils dans Le Monde de Nemo ?","Marin"
482,"Quel est le super-pouvoir de Violet dans Les Indestructibles ?","Elle peut devenir invisible et créer des champs de force"
483,"Quelle est la principale quête de Miguel dans Coco ?","Il cherche à rencontrer son ancêtre musicien dans le monde des morts"
484,"Quel est le rêve de Rémy dans Ratatouille ?","Devenir un grand chef cuisinier, malgré sa condition de rat"
485,"Quelle est l'origine du groupe des ""Plastics"" dans Mean Girls ?","Les ""Plastics"" sont un groupe de filles populaires qui dictent les règles sociales au lycée"
486,"Quel pouvoir spécial possède John Coffey dans La Ligne verte ?","Il peut guérir les maladies et les blessures en touchant les personnes"
487,"Quel est le secret de Luca et Alberto dans Luca ?","Ils sont des monstres marins qui se transforment en humains lorsqu'ils sont à sec"
488,"Quelle actrice est devenue célèbre grâce à son rôle de Laurie Strode dans la saga de films d'horreurs ""Halloween"" ?","Jamie Lee Curtis"
489,"Qui est le réalisateur du film ""un long dimanche de fiançailles""?","Jean-Pierre Jeunet"
490,"Comment s'appelle le premier film des frères Lumière en 1895?","La sortie de l'usine Lumière"
491,"Hey fun fact 🤣🤣🤣 saviez vous❓️❓️ que l'acteur d'Aragorn🧔🏻‍♀️🗡️ s'est vraiment blessé en tapant dans un casque🤕🥶🙀 et c'est pour ça que son cri a l'air si réel🫣😱 Quel est le nom de cet Acteur?","Viggo Mortensen"
494,"Quel est le métier de Raymond l'ami de Ghost Dog dans ""Ghost Dog: The Way of the Samurai (1999)""?","Vendeur de glaces"
495,"Comment s'appelle le propriétaire de la pizzeria dans ""Do the Right Thing (1989)""?","Salvatore / Sal"
496,"Dans ""The King of Comedy (1982)"" comment s'appelle le presentateur de talk show que Rupert Pupkin poursuit ?","Jerry Langford (Jerry accepté)"
497,"Dans ""Carlito's Way (1993)"" quel est le métier de David Kleinfeld (Sean Penn)?","Avocat"
498,"Quel est le nom du photographe dans ""La cité de dieu / Cidade de Deus (2002)""?","Buscapé-Rocket"
499,"Dans ""Children of Men (2006)"" qu'est-ce qui plonge le monde dans la panique?","Les humains ne peuvent plus procréer"
500,"Quel est le nom de l'organisation pour laquelle travaille Ethan Hunt dans La série de films ""Mission Impossible""?","IMF (Impossible Mission Force)"
501,"Dans Les Huit Salopards, sous quel nom John Ruth est-il appelé par erreur ?","Bob"
502,"Dans quelle série Rick Dalton joue-t-il dans Once Upon a Time… in Hollywood ?","Bounty Law (Chasseur de primes)"
503,"Quel est l'objet central dont la signification reste un mystère dans Citizen Kane ?","Rosebud"
504,"Quel acteur incarne Ken aux côtés de Barbie dans le film éponyme?","Ryan Gosling"
505,"Dans quel film de Joaquin Phoenix tombe amoureux d’une IA?","Her"
506,"Dans quel film Bill Murray revit encore et encore la même journée ?","Groundhog Day"
507,"Quel réalisateur est connu pour ses plans symétriques, ses palettes pastel et style excentrique?","Wes Anderson"
508,"Quel surnom porte Jack dans L’Étrange Noël de monsieur Jack ?","The Pumpkin King"
509,"Dans Le Parrain 2, qui tue la famille de Vito Corleone en Sicile ?","Don Ciccio"
510,"Dans Le Parrain 2, quel événement marque l’enfance de Vito Corleone ?","L’assassinat de sa famille en Sicile"
511,"Quel est le vrai nom de Vito Corleone dans Le Parrain 2 ?","Vito Andolini"
512,"Dans Le Parrain 2, pourquoi Vito Corleone est-il mis à l’isolement à son arrivée aux États-Unis ?","À cause de la variole"
513,"Quel est le prénom de la jeune femme dont Adèle tombe amoureuse ?","Emma"
514,"Quel est le métier de Don Salluste dans La Folie des grandeurs ?","Ministre"
515,"Quel instrument joue Miguel dans Coco ?","Guitare"
516,"Qui a réalisé Nosferatu en 1922 ?","F.W. Murnau"
517,"Quel est le sort qui frappe Sophie dans Le Château ambulant ?","Elle est transformée en vieille femme"
580,"Dans ""Trap"", quel est le nom de scène de la chanteuse ?","Lady Raven"
518,"Quel est le rêve du personnage principal dans Elio ?","Rencontrer des extraterrestres"
519,"Qui a réalisé Un monde sans femmes ?","Guillaume Brac"
520,"Quelle chanson Miguel joue-t-il dans le monde des morts dans Coco ?","Un Poco Loco"
521,"Qui a réalisé The Searchers ?","John Ford"
522,"Comment s’appellent les trois filles dans A Summer’s Tale ?","Margot, Solène, Léna"
523,"Comment s’appelle le chef de la police dans Jaws ?","Brody"
524,"Qui est le chef de l’équipe dans Ocean’s Eleven ?","Danny Ocean"
525,"Qui a réalisé The King and the Mockingbird ?","Paul Grimault"
526,"Qui a réalisé Le Procès de Jeanne d’Arc ?","Robert Bresson"
527,"Quel métier exerce Charles Foster Kane ?","Magnat de la presse"
528,"Quels personnages aide le Mockingbird à fuir le roi ?","Le ramoneur et la bergère"
529,"Quel monde Jack découvre-t-il en quittant Halloween Town ?","Christmas Town"
530,"Qui est la partenaire de fuite de Ferdinand dans ""Pierrot le Fou"" ?","Marianne"
531,"Comment se termine le film ""Pierrot le Fou"" ?","Ferdinand se peint le visage en bleu et se fait sauter avec de la dynamite"
532,"""La Jetée"" est un film principalement composé de quel type d’images ?","Photographies fixes"
533,"""Hail, Sarajevo"" est un documentaire sur quel sujet ?","Le siège de Sarajevo pendant la guerre des Balkans"
534,"Dans ""Ted 2"", quel est l’animal principal transformé en personnage ?","Ours en peluche"
535,"Dans ""Paprika"", quel est le thème principal ?","La fusion entre les rêves et la réalité"
536,"Dans ""Paths of Glory"", quelle guerre est représentée ?","Première Guerre mondiale"
537,"""Princess Mononoke"" est un film d’animation de quel studio ?","Studio Ghibli"
538,"Quel genre est ""Mission: Impossible – Fallout"" ?","Film d’action/espionnage"
539,"Quel réalisateur est célèbre pour ""City Lights"" ?","Charlie Chaplin"
540,"Dans ""Aguirre, the Wrath of God"", quelle quête est au centre du film ?","Recherche de l’Eldorado"
541,"""Les Demoiselles de Rocherfort"" est quel type de film ?","Comédie musicale française"
542,"Dans ""The Shining"", où se déroule l’histoire principale ?","Dans un hôtel isolé"
543,"Dans ""Rear Window"", quel est le handicap principal du héros ?","Il est confiné dans un fauteuil roulant (jambe cassée)"
544,"Dans ""Howl's Moving Castle"", quel type de créature est Howl ?","Un magicien"
545,"Qui est le réalisateur de ""Vertigo"" ?","Alfred Hitchcock"
546,"""A bout de souffle"" est un film emblématique de quel mouvement ?","Nouvelle Vague française"
547,"Quel type d’animation utilise ""Coraline"" ?","Stop-motion"
548,"Dans ""Halloween"", qui est le tueur masqué ?","Michael Myers"
549,"""Isle of Dogs"" est un film d’animation de quel réalisateur ?","Wes Anderson"
550,"""Casino"" se déroule principalement dans quelle ville ?","Las Vegas"
551,"""A Clockwork Orange"" est une adaptation d'un celebre roman, Qui l'a écrit ?","Anthony Burgess"
552,"""Portrait of a Lady on Fire"" se déroule dans quel pays ?","France"
553,"""Nosferatu"" est un film de quel genre ?","Film d’horreur expressionniste (expressionisme allemand)"
554,"""Ran"" est un film inspiré de quelle œuvre classique ?","Le Roi Lear de Shakespeare"
555,"Dans ""Princess Mononoke"", quel est le conflit principal ?","La nature contre l'industrialisation"
556,"Dans ""The Young Girls of Rochefort"", que cherchent les deux sœurs ?","L'amour"
557,"Quel est le méchant principal dans ""Mission: Impossible – Fallout"" ?","Solomon Lane"
558,"""Phantom of the Paradise"" mêle musique et horreur, qui est le personnage fantôme ?","Winslow Leach"
559,"Dans ""Carlito's Way"", quel dilemme affronte Carlito ?","Quitter la vie criminelle ou y retourner"
560,"Dans ""Rear Window"", que suspecte le personnage principal ?","Un meurtre dans l'immeuble voisin"
561,"Où se déroule la mission d'Aguirre dans ""Aguirre, the Wrath of God"" ?","Dans la jungle amazonienne"
562,"Quel est le mot de passe secret donné au Dr William Harford dans ""Eyes Wide Shut"" de Kubrick ?","Fidelio"
563,"Quel est le nom du jeune hobbit qui hérite de l'Anneau Unique ?","Frodon Sacquet"
564,"Quel réalisateur français est derrière le film ""Contempt"" (""Le Mépris"") ?","Jean-Luc Godard"
565,"Quel réseau social est au cœur de ""The Social Network"" ?","Facebook"
566,"Quel type de film est ""Un Chien Andalou"" ?","Court-métrage surréaliste"
567,"Quelle créature hante les rêves dans ""A Nightmare on Elm Street"" ?","Freddy Krueger"
568,"Qui est le réalisateur du film d’animation Azur et Asmar ?","Michel Ocelot"
569,"Qui est l’auteur du roman dont est tiré le film Le Comte de Monte Cristo ?","Alexandre Dumas"
570,"Quel réalisateur a créé un film psychédélique mêlant drogue, sexe et traumas, et se déroulant à Tokyo ?","Gaspar Noé"
571,"Quel est la célèbre locution latine qui inspire le professeur Keating et ses élèves dans Dead Poets Society ?","Carpe Diem"
572,"En quelle créature se transforme Luca, dans le film du même nom, dès qu’il entre dans l’eau ?","Un monstre marin"
573,"Quel film de John Woo était indisponible en occident depuis 20 ans a fait son retour en salle en 2025 ?","Hard Boiled (À toute épreuve)"
574,"Quel acteur joue le personnage de John Keating, professeur de littérature dévoué  ?","Robin Williams"
575,"Dans ce film se déroulant dans un restaurant gastronomique extrême, quel plat permet à Margot de se sauver ?","Un cheeseburger"
576,"Dans Perfect Days, à quel jeu joue l'agent d'entretien après avoir fini de nettoyer les toilettes ?","Tic Tac Toe ou morpion"
577,"Dans quel film le personnage prononce-t-il la réplique culte : « I will look for you, I will find you, and I will kill you » (Je te chercherai, je te retrouverai et je te tuerai) ?","Taken"
579,"De quoi est accusé le Dr Oppenheimer?","D’être communiste ou lié au PC"
582,"Dans ""Vingt Dieux"" quel est le but du concours?","Faire le meilleur comté"
583,"Comment s'appelle l'outil qui permet de voyager dans les rêves dans ""Paprika"" ?","le dc mini"
584,"Contre qui se bat Evelyn Wang (Michelle Yeoh) dans ""Everything Everywhere All at Once"" ?","Sa fille / Jobu Tupaki / Joy Wang"
585,"Où se passe Midsommar ?","En Suède"
586,"Combien y'a t'il de membre dans la famille Thrombey dans ""Knives out ?","10"
587,"Quel est le nom du pape à la fin de ""Conclave"" ?","Benitez"
588,"Dans quel film de propagande américaine Tom Hanks court vite ?","Forrest Gump"
589,"Quel est le vrai nom de Mclovin dans ""Superbad"" ?","Fogell"
590,"Dans quelle ville se passe ""Lost in Translation"" ?","Tokyo"
591,"Dans ""12 angry men"" quel est le numéro de jurée d'Henry Fonda ?","8"
592,"De quelle nationalité est Tony Montana dans ""Scarface"" ?","Cubain"
593,"Quelle est la révolution cinématographique auquel les personnages doivent s'adapter dans ""Babylon"" ?","L'arrivée du son dans les films"
594,"Combien d'acteurs ont joué Bob Dylan dans ""I'm not there"" ?","6"
595,"Quel est le nom des trois membres du groupe dans ""Kpop Demon Hunters"" ?","Rumi, Mira, Zoey"
596,"Quel est le métier de Vincent Hanna (Al Pacino) dans ""Heat"" ?","détective"
597,"Dans ""pas très normal activité"" par quoi la maison est-elle hantée ?","des cochons"
598,"Dans quel film apparaît le Pours ?","Les vacances de Ducobu"
599,"Dans ""Les Seigneurs"" quelle équipe les héros doivent affronter en 32ème de finale de coupe de france ?","L'Olympique de Marseille"
600,"Dans ""RRRrrrr!!!"" la majorité des personnages ont le même nom, quel est ce nom ?","Pierre"
601,"Dans quel Pays se passe les évènements de ""Babysitting 2"" ?","Brésil"
602,"Qui est l'antagoniste du film ""Minecraft"" ?","Malgosha"
603,"Où se passe les évènements du film ""Warfare (2025)"" ?","en Irak"
604,"Quel est le nom de la parodie de ""Die Hard"" réalisé par Charles Nemes avec Eric Judor et Ramzy Bedia ?","La tour Montparnasse infernale"
605,"Est-ce que Frank Gastambide a déjà réalisé un film dans lequel il n'y a pas de nain ?","non"
606,"Dans ""25th Hour"" pourquoi Monty Brogan doit aller en prison ?","Vente de drogue"
607,"Dans ""The Rocky Horror Picture Show"" quel est le nom du personnage parodiant Frankenstein joué par Tim Curry ?","Frank-N-Furter"
608,"Combien y'a t'il de film dans la saga Mission Impossible ?","8"
609,"Le Film ""The life of Chuck est tiré d'un livre, qui est l'auteur de ce livre ?","Stephen King"
610,"De quel film d'horreur culte ""Doctor Sleep"" est la suite ?","The Shining"
611,"Quel est le rêve de Slimane dans La Graine et le Mulet ?","Ouvrir un restaurant de couscous au poisson"
612,"Qui a réalisé La Vie d'Adèle ?","Abdellatif Kechiche"
613,"Quel est l’obsession du personnage principal dans Deerskin ?","Il devient obsédé par sa veste en cuir de cerf"
614,"Comment est racontée l’histoire dans Irreversible ?","De manière non linéaire, en remontant le temps"
615,"Quel est le métier de Neil McCauley dans Heat ?","Un voleur professionnel"
616,"Quel est le thème principal de Nobody Knows ?","L'abandon et la survie d'enfants laissés seuls par leur mère"
617,"Quel événement déclenche la fuite de Thelma et Louise ?","Un incident de violence (viol) avec un homme dans un bar"
618,"Quel est le rôle de Travis Bickle dans Taxi Driver ?","Chauffeur de taxi solitaire à New York"
619,"Quel est le principe du ""dîner de cons"" dans le film ?","Inviter des personnes naïves pour se moquer d'elles"
620,"Ou se trouve Ripley dans Alien 3 ?","Dans une station pénitentiaire"
621,"Quel est le rôle du personnage de Charles Bronson dans Once Upon a Time in the West ?","Un homme mystérieux en quête de vengeance"
622,"Quel est le thème central de Once Upon a Time in America ?","L’histoire d’amitié et de trahison dans le milieu de la mafia"
623,"Quel est le sujet principal de Lessons of Darkness ?","La guerre du Golfe et la destruction des puits de pétrole en Irak"
624,"Quel est le thème de Still Walking ?","La famille et la mémoire à travers une réunion de famille"
625,"Quel est l’objectif de la famille Hoover dans Little Miss Sunshine ?","Amener leur fille Olive à un concours de beauté"
626,"Qui est le principal ennemi dans Nosferatu (Murnau) ?","Le comte Orlok"
627,"Quel est le principal objet utilisé par Dom Cobb pour distinguer la réalité des rêves dans Inception ?","Un toupie"
628,"Quel est le principe du Fight Club ?","Un club secret où des hommes se battent pour libérer leurs frustrations"
629,"Quel est le secret de l’île dans Shutter Island ?","L'île abrite un hôpital psychiatrique où se déroule une enquête mystérieuse"
630,"Quel est le nom du méchant dans The Dark Knight ?","Le Joker"
631,"Quel est le nom du personnage principal dans Goodfellas ?","Henry Hill"
632,"Quel est le rêve de Andrew dans Whiplash ?","Devenir un grand batteur de jazz"
633,"Quel est le nom du personnage principal dans A Clockwork Orange ?","Alex (DeLarge)"
634,"Comment Lenny tente-t-il de résoudre son enquête dans Memento ?","En utilisant des notes et des tatouages pour se souvenir de chaque détail"
635,"Quel est le surnom du personnage principal dans The Matrix ?","Neo"
636,"Quel est le nom du personnage joué  par Brad Pitt dans ""Fight Club"" ?","Tyler Durden"
637,"Quel est le nom de Famille de Jack dans ""L'étrange noël de monsieur Jack / The nightmare before Christmas"" ?","Jack Skellington"
638,"Dans ""Melancholia"", quel est le nom de la planète qui menace de rentrer en collision avec la terre ?","Melancholia"
639,"Quel est le principal thème de Le Tombeau des lucioles ?","La survie et la tragédie d'un frère et d'une sœur pendant la Seconde Guerre mondiale"
640,"Qui a réalisé le tout premier film Frankenstein?","James Whale"
